#,Sample flow data,,
#,,,
#,Make sure the site id's match the row labels in the catchment area file.,,
#,,,
,1001,1002,1003a
24/06/1950,-99.99,-99.99,-99.99
25/06/1950,-99.99,-99.99,-99.99
26/06/1950,-99.99,-99.99,-99.99
27/06/1950,-99.99,-99.99,-99.99
28/06/1950,-99.99,-99.99,-99.99
29/06/1950,-99.99,-99.99,-99.99
30/06/1950,-99.99,-99.99,-99.99
1/07/1950,-99.99,-99.99,-99.99
2/07/1950,-99.99,-99.99,-99.99
3/07/1950,-99.99,-99.99,-99.99
4/07/1950,-99.99,-99.99,-99.99
5/07/1950,-99.99,-99.99,-99.99
6/07/1950,-99.99,-99.99,-99.99
7/07/1950,-99.99,-99.99,-99.99
8/07/1950,-99.99,-99.99,-99.99
9/07/1950,-99.99,-99.99,-99.99
10/07/1950,-99.99,-99.99,-99.99
11/07/1950,-99.99,-99.99,-99.99
12/07/1950,-99.99,-99.99,-99.99
13/07/1950,-99.99,-99.99,-99.99
14/07/1950,-99.99,-99.99,-99.99
15/07/1950,-99.99,-99.99,-99.99
16/07/1950,-99.99,-99.99,-99.99
17/07/1950,-99.99,-99.99,-99.99
18/07/1950,-99.99,-99.99,-99.99
19/07/1950,-99.99,-99.99,-99.99
20/07/1950,-99.99,-99.99,-99.99
21/07/1950,-99.99,-99.99,-99.99
22/07/1950,-99.99,-99.99,-99.99
23/07/1950,-99.99,-99.99,-99.99
24/07/1950,-99.99,-99.99,-99.99
25/07/1950,-99.99,-99.99,-99.99
26/07/1950,-99.99,-99.99,-99.99
27/07/1950,-99.99,-99.99,-99.99
28/07/1950,-99.99,-99.99,-99.99
29/07/1950,-99.99,-99.99,-99.99
30/07/1950,-99.99,-99.99,-99.99
31/07/1950,-99.99,-99.99,-99.99
1/08/1950,-99.99,-99.99,-99.99
2/08/1950,-99.99,-99.99,-99.99
3/08/1950,-99.99,-99.99,-99.99
4/08/1950,-99.99,-99.99,-99.99
5/08/1950,-99.99,-99.99,-99.99
6/08/1950,-99.99,-99.99,-99.99
7/08/1950,-99.99,-99.99,-99.99
8/08/1950,-99.99,-99.99,-99.99
9/08/1950,-99.99,-99.99,-99.99
10/08/1950,-99.99,-99.99,-99.99
11/08/1950,-99.99,-99.99,-99.99
12/08/1950,-99.99,-99.99,-99.99
13/08/1950,-99.99,-99.99,-99.99
14/08/1950,-99.99,-99.99,-99.99
15/08/1950,-99.99,-99.99,-99.99
16/08/1950,-99.99,-99.99,-99.99
17/08/1950,-99.99,-99.99,-99.99
18/08/1950,-99.99,-99.99,-99.99
19/08/1950,-99.99,-99.99,-99.99
20/08/1950,-99.99,-99.99,-99.99
21/08/1950,-99.99,-99.99,-99.99
22/08/1950,-99.99,-99.99,-99.99
23/08/1950,-99.99,-99.99,-99.99
24/08/1950,-99.99,-99.99,-99.99
25/08/1950,-99.99,-99.99,-99.99
26/08/1950,-99.99,-99.99,-99.99
27/08/1950,-99.99,-99.99,-99.99
28/08/1950,-99.99,-99.99,-99.99
29/08/1950,-99.99,-99.99,-99.99
30/08/1950,-99.99,-99.99,-99.99
31/08/1950,-99.99,-99.99,-99.99
1/09/1950,-99.99,-99.99,-99.99
2/09/1950,-99.99,-99.99,-99.99
3/09/1950,-99.99,-99.99,-99.99
4/09/1950,-99.99,-99.99,-99.99
5/09/1950,-99.99,-99.99,-99.99
